Startup,Sector,Business model,Employee count 2Q 2023,Employment taxes 2Q 2023,Turnover 2Q 2023,Year founded
 Futpal,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,-,€ 3.6K,2021
 DLT Payments,FinTech,B2B,-,-,€ 873,2022
 Mismaksab,Consumer products and services,B2B2C,-,-,-,2019
 theklen.ai,Business software & HR,B2B,2,-,-,2014
 Lingobo,EdTech,B2B,-,-,-,2022
 pakoo,CleanTech,B2B,-,-,€ 4K,2021
 Producter,Business software & HR,B2B,-,-,€ 8K,2022
 Willuwalk,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2022
 Go4Loyal,TravelTech,"B2B, B2C",-,-,-,2023
 Augmental,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2023
 Everyrun,"HealthTech, Life sciences & Wellness",B2B2C,-,-,€ 6.2K,2021
 Augmented Retail,Consumer products and services,"B2C, B2B2C",-,-,-,2020
 MindSee,"HealthTech, Life sciences & Wellness","B2B, B2C",-,-,-,2023
 Cyberyal,Gaming,"C2C, B2C",-,-,-,2022
 Manofix,Consumer products and services,"B2B, C2C, B2C",-,-,-,2021
 AILAND,Gaming,"B2B, B2C",-,-,-,2023
 Salesforge,Business software & HR,B2B,-,-,-,2023
 Aeg on raha,Communication,B2C,-,-,-,2023
 mmnt,Communication,"B2B, B2C",-,-,-,2018
 PitchBob.io,Business software & HR,"B2B, B2C",-,-,-,2020
 Classreaders,EdTech,"B2B, B2C, B2B2C",-,-,-,2023
 Flai Analytics,AdTech & Creative Tech,B2B2C,-,-,-,2022
 EsaDres,"HealthTech, Life sciences & Wellness","B2B, B2G, B2B2C",-,-,-,2023
 Tecooli,Consumer products and services,"B2B, B2B2B, B2G, B2C, B2B2C",-,-,€ 469,2019
 GaiaHub,CleanTech,"B2B, B2G",-,-,-,2023
 Playerbank,Business software & HR,"B2B, B2C",-,-,-,2023
 Reality Metavers...,FinTech,-,-,-,-,2022
 The J. Molner Co...,"HealthTech, Life sciences & Wellness",-,-,-,-,2020
 Hacken Proof,CyberTech,-,-,-,-,2017
 Zetly Fueling Sp...,Consumer products and services,"B2B, B2B2B, B2C, B2B2C",-,-,€ 8.3K,2021
 Value.Space,SpaceTech,-,-,-,-,2022
 Perfect.Live,Consumer products and services,-,-,-,-,2017
 Drug Hunter,"HealthTech, Life sciences & Wellness",-,-,-,-,2021
 Remotify,FinTech,"B2B, B2C",-,-,-,2022
 SubSavey,FinTech,"B2B, B2C",-,-,€ 11.8K,2022
 Avsos,Transportation & Logistics,B2B,-,-,-,2022
 Brandimpact,Consumer products and services,"B2B, C2C",-,-,-,2022
 Botastico,Business software & HR,"B2B, B2G, B2C",-,-,-,2023
 Vahetused.ee,"HealthTech, Life sciences & Wellness","B2B, B2B2C",-,-,-,2021
 Inspectle Food,AgTech & FoodTech,B2B,-,-,€ 1.9K,2022
 1MTN,CleanTech,"B2B, B2G, B2B2C",-,-,-,2022
 Memberse,AdTech & Creative Tech,B2B2C,-,-,-,2020
 UXO,Business software & HR,B2B,-,-,-,2021
 RaiserTools,AdTech & Creative Tech,"B2B, B2C, B2B2C",1,-,-,2023
 FORUS,Transportation & Logistics,"B2B, C2C, B2C",-,-,-,2021
 MarkeDroid,CleanTech,"B2B, B2C",-,-,-,2023
 Schoolify,EdTech,B2C,-,-,-,2021
 Innoair,CleanTech,B2B2C,-,-,-,2022
 Project Atlantis...,CyberTech,"B2B, B2C",-,-,-,2023
 Treendly,Consumer products and services,"B2B, B2B2C",-,-,-,2020
 NEFT,FinTech,"B2B, B2C, B2B2C",-,-,-,2022
 MITI,FinTech,B2B,-,-,-,2020
 Reboot Games,Gaming,B2C,-,-,€ 6.9K,2020
 Tings,Consumer products and services,"B2B, C2C, B2C, B2B2C",-,-,-,2018
 Esgrid,Business software & HR,B2B,-,-,-,2023
 TipTape,Consumer products and services,"B2B, B2C",-,-,-,2021
 EAS Project,FinTech,B2B,-,-,-,2021
 CryptoRobotics,FinTech,B2B2C,-,-,-,2021
 Bamble,Business software & HR,"B2B, B2B2B",-,-,-,2022
 DriveX Technolog...,Transportation & Logistics,"B2B, B2G, B2C",-,-,-,2019
 Bitzet,FinTech,"B2B, B2B2B, B2B2C",-,-,-,2021
 Scoot911,Transportation & Logistics,"B2B, B2C",-,-,€ 1.1K,2016
 Karma App,Consumer products and services,B2C,-,-,-,2023
 ChatLegal,Business software & HR,"B2B, B2C",-,-,-,2023
 Hoolduskeskus,Transportation & Logistics,B2B,-,-,-,2021
 Scorestars,Consumer products and services,"B2C, B2B2C",-,-,-,2020
 Beep,Communication,B2B,-,-,-,2023
 Ziv4,FinTech,"B2B, B2C",-,-,-,2023
 Baun,Consumer products and services,-,-,-,-,2022
 Ratel Robotics,SpaceTech,-,-,-,-,2023
 Tocharian,CyberTech,B2B,-,-,-,2023
 Koduandur OÜ,"HealthTech, Life sciences & Wellness","B2B, B2G, B2C",-,-,-,2019
 Forecr.io,Advanced Manufacturing & Industry,B2B,-,-,-,2022
