Startup,Sector,Business model,Employee count 2Q 2023,Employment taxes 2Q 2023,Turnover 2Q 2023,Year founded
 SOMA Smart Home,Consumer products and services,"B2B, B2C",6,€ 11K,€ 16.7K,2013
 Askly,Business software & HR,B2B,6,€ 10.9K,€ 10.6K,2018
 cyberarch consul...,CyberTech,"B2B, B2G, B2C",4,€ 10.7K,€ 73.4K,2018
 Wisby,Advanced Manufacturing & Industry,B2B,4,€ 10.3K,€ 584.6K,2021
 M-Flowers.,Business software & HR,B2B,2,€ 10.3K,-,2021
 BASIS ID,CyberTech,"B2B, B2C",1,€ 10.3K,€ 36.4K,2016
 NutriLoop,CleanTech,"B2B, B2G, B2C",4,€ 10.1K,€ 7.6K,2018
 Optimyse,Business software & HR,B2B,3,€ 10.1K,€ 175.5K,2018
 Grows Global,FinTech,B2C,2,€ 10.1K,-,2022
 Go Vertic,CleanTech,-,4,€ 9.9K,€ 581.6K,2018
 Crezu,FinTech,B2C,2,€ 9.9K,€ 7.7M,2018
 Others,Consumer products and services,"B2B, B2C",2,€ 9.9K,€ 40.5K,2020
